Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Bill Goodwin,6/10/2016,11:30,Key Largo ,FL,Research,Florida Keys National Marine Sanctuary (FKNMS),24.93393,-80.54920,no data,Hens and Chickens,no data, Patch Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Bill Goodwin,6/10/2016,no data,Key Largo ,FL,Research,Florida Keys National Marine Sanctuary (FKNMS),24.99903,-80.46683,no data,Burrfish Reef,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Tyler Bond,6/11/2016,no data,Summerland Key ,FL,Education, OA Ocean Adventure/Florida Sea Base,24.63030,-81.08110,no data, Coffin's Patch,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Tyler Bond,6/12/2016,no data,Summerland Key ,FL,Education, OA Ocean Adventure/Florida Sea Base,24.62622,-81.11100,no data, Sombrero Key Reef,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,6/13/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.56023,-81.50127,20,Wonderland ,no data, Mid-Channel Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,6/13/2016,no data,Key West ,FL,Education,Key West Resident,24.54213,-81.78972,12,Casa Marina Reef,40 yds. off Marker 4, Patch Reef, 5-10 kts,no data,no data,no data,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Looks like old mortality from previous bleaching?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,6/17/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53145,-81.48355,20,Site C Outplant,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,White disease noted on 1 DSTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,6/17/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54592,-81.40485,22,Looe SPA #10,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,"Funky SSID disease and white pox on APAL.  Also, OANN look a little off or paling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Allen Kuhn,6/17/2016,11:00,New Port Richey ,FL,Education, The Nature Conservancey,25.04450,-80.36997,10,White Banks,no data, Patch Reef, 0-5 kts,88,84,no data,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"Resubmit of form to include ""NONE"" for overall bleaching severity. Cory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Richard and Patricia Collins,6/19/2016,no data,Big Pine Key,FL,Resident,Summerland Key Resident ,24.54605,-81.40478,20, Looe Key Buoy 11,Buoy #11,Bank Reef,no data,no data,85,no data,no data,Yes,paling,none,none,partial bleaching,none,none,partial bleaching,1-10%,8,20,no data,no data,no data,See photos sent to Cory Walter on 6/21/16. We also noticed and sent photo of what we think might be yellow-band disease on a photo sent same day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
