Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth,Min Depth,Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,
Email ,Trudy Ferraro,8/27/2014,no data,Key Largo,FL,Research,FPS Pennekamp,25.10940,-80.34535,10,Mosquito Banks north,RHA 32,patch reef,10-15 kts,no data,86,no data,partly cloudy,YES,partial bleaching,none,none,partial bleaching,none,Bleaching,none,31-50%,10,no data,fire coral,gorgonians,no data, ,
Email ,Trudy Ferraro,8/27/2014,no data,Key Largo,FL,Research,FPS Pennekamp,25.10337,-80.34414,10,Cannon Patch,south,patch reef,10-15 kts,no data,86,no data,partly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,none,none,51-75%,10,no data,fire coral,gorgonians,no data,,
Email ,Danielle Morley,8/27/2014,10:08am,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.69241,-80.90294,65,no data,no data,hardbottom,10-15 kts,no data,no data,87,partly cloudy,YES,partial bleaching,none,none,partial bleaching,partial bleaching,none,none,31-50%,no data,no data,gorgonians,no data,no data, ,
Email ,Danielle Morley,8/27/2014,10:08am,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.70920,-80.82795,96,no data,no data,hardbottom,10-15 kts,no data,no data,87,partly cloudy,YES,partial bleaching,none,none,partial bleaching,none,none,none,11-30%,96,86,no data,no data,no data, ,
Email ,Bob Fletcher,8/28/2014,no data,Summerland Key,FL,Resident,The Catch,24.77630,-81.54653,15,East of Sawyer,no data,inshore,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data, ,
In person,Cory Walter,8/29/2014,9:10,Summerland Key,FL,Research,Mote Marine Laboratory,24.54686,-81.40279,16,FRRP 2387,no data,reef,no data,no data,no data,no data,no data,YES,paling,paling,paling,none,none,Bleaching,none,no data,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,8/29/2014,9:48,Summerland Key,FL,Research,Mote Marine Laboratory,24.54891,-81.41481,22,FRRP Strat #1,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,none,paling,none,no data,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,8/29/2014,10:47,Summerland Key,FL,Research,Mote Marine Laboratory,24.55245,-81.38409,19,FRRP Strat #2 (Outplant Site A),no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,none,paling,none,31-50%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,8/29/2014,11:39,Summerland Key,FL,Research,Mote Marine Laboratory,24.56537,-81.39330,25,FRRP 1194,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,paling,paling,paling,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,8/29/2014,14:42,Summerland Key,FL,Research,Mote Marine Laboratory,24.59578,-81.39539,11,FRRP 2362,no data,hardbottom,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,paling,partial bleaching,paling,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/3/2014,8:59,Summerland Key,FL,Research,Mote Marine Laboratory,24.55857,-81.35399,25,FRRP 2385,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,paling,partial bleaching,paling,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/3/2014,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.57461,-81.31872,26,FRRP 2329,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,paling,partial bleaching,paling,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/3/2014,10:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.57422,-81.32815,17,FRRP 1198,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,partial bleaching,paling,partial bleaching,paling,31-50%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/3/2014,12:53,Summerland Key,FL,Research,Mote Marine Laboratory,24.56310,-81.40054,24,FRRP Strat #1,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,partial bleaching,Bleaching,paling,partial bleaching,paling,76-100%,no data,no data,fire coral,gorgonians,no data,,
In person,Cory Walter,9/3/2014,14:00,Summerland Key,FL,Research,Mote Marine Laboratory,24.55336,-81.43310,29,FRRP 1206,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,partial bleaching,Bleaching,paling,partial bleaching,paling,76-100%,no data,no data,fire coral,gorgonians,no data,,
In person,Cory Walter,9/3/2014,14:37,Summerland Key,FL,Research,Mote Marine Laboratory,24.56946,-81.45930,21,FRRP 2361,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,partial bleaching,Bleaching,paling,partial bleaching,paling,76-100%,no data,no data,fire coral,gorgonians,no data,"Bleached and dead gorgos again.  Most Past are bleached and
noted some recent mortality on the Past",
In person,Cory Walter,9/4/2014,11:15,Summerland Key,FL,Research,Mote Marine Laboratory,24.53024,-81.47241,42,FRRP 2412,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,Bleaching,Bleaching,none,Bleaching,paling,76-100%,no data,no data,fire coral,palythoa,gorgonians,Some gorgo and sponge mortality,
In person,Cory Walter,9/4/2014,12:19,Summerland Key,FL,Research,Mote Marine Laboratory,24.53304,-81.46854,42,FRRP 2413,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,none,paling,partial bleaching,none,none,none,76-100%,no data,no data,fire coral,palythoa,gorgonians,Mostly bare rock,
In person,Cory Walter,9/4/2014,13:05,Summerland Key,FL,Research,Mote Marine Laboratory,24.53387,-81.47144,17,FRRP 2407,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,Bleaching,paling,partial bleaching,none,none,none,76-100%,no data,no data,fire coral,palythoa,gorgonians,Acer bleached, 
In person,Cory Walter,9/4/2014,13:35,Summerland Key,FL,Research,Mote Marine Laboratory,24.53122,-81.48428,21,FRRP 1202,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,none,none,76-100%,no data,no data,fire coral,palythoa,gorgonians,Acer bleached...outplants,
In person,Cory Walter,9/4/2014,14:20,Summerland Key,FL,Research,Mote Marine Laboratory,24.54324,-81.47056,25,FRRP 1202,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,Bleaching,Bleaching,Bleaching,none,Bleaching,none,76-100%,no data,no data,fire coral,palythoa,gorgonians,Acer bleached...outplants,
Email ,Kayla Nimmo,9/4/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.68238,-82.92620,64,Toiletbowl,no data,patch reef,calm,no data,85,84,partly cloudy,YES,paling,none,paling,paling,none,none,none,1-10%,45,64,fire coral,palythoa,no data,"Palythoa, SSID, MMEA, MCAV, SINT, Oculina frigilis, AAGA, MFRA, and CNAT paling.  one colony of MCAV had black band",
In person,Cory Walter,9/5/2014,9:15,Summerland Key,FL,Research,Mote Marine Laboratory,24.53019,-81.47736,42,FRRP 2406,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,Bleaching,paling,Bleaching,Bleaching,none,76-100%,no data,no data,fire coral,palythoa,gorgonians,"A shallow dive at Hens and Chicks, water was quite warm.",
In person,Cory Walter,9/5/2014,9:50,Summerland Key,FL,Research,Mote Marine Laboratory,24.52625,-81.50417,42,FRRP 2384,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,Bleaching,partial bleaching,Bleaching,Bleaching,Bleaching,none,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/5/2014,10:44,Summerland Key,FL,Research,Mote Marine Laboratory,24.52216,-81.52050,23,FRRP 1201,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,partial bleaching,Bleaching,Bleaching,Bleaching,partial bleaching,76-100%,no data,no data,fire coral,palythoa,gorgonians,Gorgo mortality,
In person,Cory Walter,9/5/2014,11:30,Summerland Key,FL,Research,Mote Marine Laboratory,24.52203,-81.52268,16,FRRP 1196,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,partial bleaching,76-100%,no data,no data,fire coral,palythoa,gorgonians,Gorgo mortality,
In person,Cory Walter,9/5/2014,12:30,Summerland Key,FL,Research,Mote Marine Laboratory,24.52701,-81.54655,18,FRRP 2398,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,partial bleaching,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/5/2014,13:50,Summerland Key,FL,Research,Mote Marine Laboratory,24.52700,-81.55822,18,FRRP 1205,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,Bleaching,partial bleaching,Bleaching,Bleaching,Bleaching,partial bleaching,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
Email ,Cindy Lewis & Karen Neely,9/5/2014,11:00,Long Key,FL,Research,Keys Marine Lab,24.45688,-81.89728,35,Sand Key North,no data,patch reef,0-5 kts,85,86,86,clear,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,51-75%,35,25,fire coral,palythoa,gorgonians,,
Email ,Cindy Lewis & Karen Neely,9/5/2014,11:30,Long Key,FL,Research,Keys Marine Lab,24.45228,-81.87692,25,Sand Key SPA,no data,reef,0-5 kts,85,86,86,clear,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,51-75%,25,15,fire coral,palythoa,gorgonians,Some gorgo and sponge mortality,
Email ,Kayla Nimmo,9/6/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.71282,-82.79398,43,no data,no data,hardbottom,calm,no data,85,85,partly cloudy,YES,paling,paling,paling,none,none,none,none,1-10%,43,55,fire coral,palythoa,no data,"100% Palythoa bleached, 50% SSIDI bleached, 25 % MCAV bleached, 75% MALC bleached, 50% CNAT pale, 50% AAGA bleached, 25% MFRA pale, 25% SINT pale, 10% DSTO pale, 25 % PAST pale, 100% DSTR pale (of 1 colony), 10% of MYCE pale",
In person,Cory Walter,9/8/2014,9:17,Summerland Key,FL,Research,Mote Marine Laboratory,24.50784,-81.57169,44,FRRP 2381,no data,other/don't know,no data,no data,84,84,no data,YES,partial bleaching,Bleaching,partial bleaching,Bleaching,Bleaching,Bleaching,partial bleaching,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/8/2014,10:20,Summerland Key,FL,Research,Mote Marine Laboratory,24.50636,-81.58693,33,FRRP 1214,no data,other/don't know,no data,no data,84,84,no data,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,partial bleaching,76-100%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/8/2014,11:25,Summerland Key,FL,Research,Mote Marine Laboratory,24.51142,-81.56705,14,FRRP 1215,no data,other/don't know,no data,no data,84,84,no data,YES,partial bleaching,Bleaching,none,partial bleaching,none,none,none,51-75%,no data,no data,fire coral,palythoa,gorgonians,"Some gorgo mortality and Palythoa looked better"".""",
In person,Cory Walter,9/8/2014,12:05,Summerland Key,FL,Research,Mote Marine Laboratory,24.53903,-81.57218,24,FRRP 1215,no data,other/don't know,no data,no data,84,84,no data,YES,partial bleaching,Bleaching,none,partial bleaching,none,none,none,51-75%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/8/2014,13:10,Summerland Key,FL,Research,Mote Marine Laboratory,24.54393,-81.56706,16,FRRP 1215,no data,other/don't know,no data,no data,84,84,no data,YES,partial bleaching,Bleaching,none,partial bleaching,none,none,none,51-75%,no data,no data,fire coral,palythoa,gorgonians,,
In person,Cory Walter,9/8/2014,14:04,Summerland Key,FL,Research,Mote Marine Laboratory,24.55421,-81.58885,18,FRRP 1168,no data,other/don't know,no data,no data,84,84,no data,YES,partial bleaching,Bleaching,partial bleaching,partial bleaching,none,none,none,51-75%,no data,no data,fire coral,palythoa,gorgonians,stark white! Even octos were bleached,
Email ,Cindy Lewis & Karen Neely,9/9/2014,13:30,Long Key,FL,Research,Keys Marine Lab,24.62548,-81.11178,15,Sombrero Reef SPA,no data,reef,10-15 kts,82,86,86,partly cloudy,YES,Bleaching ,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,31-50%,15,10,fire coral,palythoa,gorgonians,stark white! Even octos were bleached,
Email ,Cindy Lewis & Karen Neely,9/9/2014,15:00,Long Key,FL,Research,Keys Marine Lab,24.62970,-81.09315,35,Sombrero Reef North,no data,reef,10-15 kts,82,86,86,partly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,partial bleaching,none,31-50%,35,30,fire coral,palythoa,gorgonians,"very pale: Dcyl, Colp, Dip spp, O fav, A palm (some totally
bleached white)",
Email ,Kayla Nimmo,9/10/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.66175,-82.84543,20,FRRP 1218,no data,hardbottom,calm,no data,86,86,partly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,paling,none,31-50%,20,19,fire coral,palythoa,gorgonians,"PAST, ACER, SINT, MMEA, SSID, PPOR, PFUR, MCAV, DSTR all bleaching/paling.  about 50% of ACER colonies have recent mortality, and approx. 75% of ACER bleaching.",
Email ,Kayla Nimmo,9/10/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.68835,-82.88436,24,FRRP 1223,no data,hardbottom,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,Bleaching,Bleaching,none,none,none,11-30%,24,24,fire coral,palythoa,no data,"AAGA, DLAB, PFUR, DSTR all bleaching.  SSID,MCAV, MYCE paling.",
Email ,Kayla Nimmo,9/10/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.67997,-82.90499,28,FRRP 2427,no data,hardbottom,no data,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,11-30%,28,28,fire coral,no data,no data,"DSTR, SSID paling.",
Email ,Kayla Nimmo,9/11/2014,11:00,Key West,FL,Research,Dry Tortugas NPS,24.62570,-82.88590,36,Magnetic North,no data,patch reef,calm,no data,85,86,clear,YES,Bleaching ,paling,Bleaching,Bleaching,none,none,none,31-50%,18,36,fire coral,palythoa,no data,"50% AAGA bleached, 30% DLAB bleached, 100% strigosa bleached, 30% SSID bleached, 100% MYCE bleached, 50% CNAT bleached, 50% DCLIV bleached, 25% of MDEC pale, 100% MALC bleached, 25% MCAV bleached, 75% Porites bleached",
Email ,Cindy Lewis & Karen Neely,9/11/2014,14:00,Long Key,FL,Research,Keys Marine Lab,25.27403,-80.21027,20,Pillar Coral Forest,no data,reef,0-5 kts,86,84,84,partly cloudy,YES,Bleaching,Bleaching,Bleaching,Bleaching,none,Bleaching,none,51-75%,20,15,fire coral,palythoa,gorgonians,"bleached: D cyl, S sid,Colp,O fav, O ann,   A agar, Dip spp, P por, P div, Millepora spp, many octocorals including Antillogorgia spp, Plexaura spp, Eunicia spp, Briarium
White Plague on many D cyl",
Email ,Kayla Nimmo,9/12/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.48155,-81.68050,32,no data,no data,reef,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,Bleaching,none,76-100%,32,28,fire coral,palythoa,gorgonians,"Approximately 95% bleaching.  approx. 25% of SSID had dark spots.  One barrel sponge was diseased and mainly dead.  The following species were observed, all species observed were bleached.  MFRAN, MMEA, PAST, PFUR, MALC, PPOR, SSID, MCAV, AAGA, DSTR, DLAB, AFRIG, MCAV, DSTO, MANN, MFRI, DCLIV, CNAT, EFAS.",
Email ,Kayla Nimmo,9/12/2014,10:00,Key West,FL,Research,Dry Tortugas NPS,24.46417,-81.73783,64,Joes Tug,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,Bleaching,none,76-100%,64,500,fire coral,palythoa,gorgonians,,
Email ,Cindy Lewis & Karen Neely,9/12/2014,10:30,Long Key,FL,Research,Keys Marine Lab,24.99173,-80.40860,25,Pickles Reef,no data,reef,5-10 kts,84,84,84,cloudy,YES,Partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,Bleaching,none,31-50%,25,15,fire coral,palythoa,no data,"D cyl, S sid very pale; bleached: A agar, Dip spp, P por, P div, Millepora spp, Briarium (other octocorals not bleached)",
Email ,Jessica Dockery,9/12/2014,10:00,Key Largo,FL,Education,Marine Resources,25.04450,-80.36997,11,White Bank,North ball,reef,5-10 kts,80,no data,no data,cloudy,YES,Partial bleaching,none,Bleaching,paling,none,none,none,11-30%,11,4,fire coral,gorgonians,no data,Will send pictures later.,
Email ,Jessica Dockery,9/13/2014,9:45,Key Largo,FL,Education,Marine Resources,25.10943,-80.33865,20,Cannon Patch,East side,patch reef,10-15 kts,no data,no data,no data,mostly cloudy,YES,partial bleaching,none,none,paling,none,none,none,1-10%,18,7,fire coral,no data,no data,,
Email ,Jessica Dockery,9/13/2014,10am,Key Largo,FL,Education,Marine Resources,25.16427,-80.27762,8,no data,no data,patch reef,10-15 kts,no data,no data,no data,mostly cloudy,YES,partial bleaching,none,none,paling,none,none,none,1-10%,8,6,fire coral,palythoa,gorgonians,,
Email ,Jessica Dockery,9/13/2014,11:00,Key Largo,FL,Education,Marine Resources,25.25858,-80.21045,20,no data,no data,reef,10-15 kts,no data,no data,no data,partly cloudy,YES,partial bleaching,none,Bleaching,paling,none,none,none,1-10%,18,7,fire coral,palythoa,gorgonians,,
Email ,Kayla Nimmo,9/16/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.62355,-82.94247,21,Windjammer,no data,other/don't know,calm,84,84.2,85,partly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,none,none,31-50%,21,no data,fire coral,palythoa,no data,"1 colony of DCLIV had black band and approximately 20% of colony has recent death (on side opposite black band), 1 colony of CNAT has black band, 2 colonies of DLAB have unknown disease, 1 colony of DSTR has 100% recent death, 4 colonies of DSTR have black band, 2 colonies of DLAB have 40% recent death, 1 colony of CNAT has 25% recent death.  The following species were observed to be bleaching: MALC (75%), MCAV (50%), SSID (75%), DSTR (25%), MCAV (50%), CNAT (75%), PPOR (100%), DLAB (80%), CNAT (75%), PFUR (100%), MANN (75%), EFAS (100%), Palythoa (100%), DCLIV (25%)",
Email ,Jasmine Baloch,9/16/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.65492,-82.91255,8,Multiple Coralgasm,no data,patch reef,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,Bleaching,none,none,none,none,1-10%,8,2,fire coral,no data,no data,"The site is primarily MFRA which was healthy.  One colony of ACER was also observed and was healthy. The following were found at low percentages and had signs of bleaching/paling: DCLIV, MMAN, PAST, PPOR, DLAB, SINT, DSTR, CNAT.",
Email ,Cindy Lewis & Karen Neely,9/17/2014,12:00,Long Key,FL,Research,Keys Marine Lab,24.71782,-80.84213,32,Long Key Ledge,LKLD-2,reef,0-5 kts,84,84,82,partly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,31-50%,32,28,fire coral,palythoa,gorgonians,"not sure if sent this one in yet
bleached: D cyl, O fav,  Dip spp, Colp,  P por, P ast,  Aga spp, S sid; octos: many pale and several species bleached
pix  available",
Email ,Cindy Lewis & Karen Neely,9/17/2014,12:30,Long Key,FL,Research,Keys Marine Lab,24.68988,-80.91917,20,Critter Ridge,no data,reef,0-5 kts,82,84,84,partly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,none,Bleaching,none,31-50%,25,20,fire coral,palythoa,gorgonians,,
Email ,Kayla Nimmo,9/18/2014,15:50,Key West,FL,Research,Dry Tortugas NPS,24.70566,-82.87178,37,FRRP 2433,no data,hardbottom,no data,no data,no data,no data,no data,YES,paling,none,none,paling,none,Bleaching,none,1-10%,37,36,fire coral,palythoa,no data,AAGA and SSID had signs of bleaching,
Email ,Kayla Nimmo,9/18/2014,11:00,Key West,FL,Research,Dry Tortugas NPS,24.60166,-82.95712,47,FRRP 1236,no data,hardbottom,no data,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,1-10%,no data,no data,fire coral,palythoa,no data,1 colony of SSID had dark spots.  approx. 50% of SSId pale.  approx. 15% of MFRA pale.,
Email ,Kayla Nimmo,9/18/2014,14:00,Key West,FL,Research,Dry Tortugas NPS,24.71093,-82.88372,45,FRRP 1225,no data,hardbottom,no data,no data,no data,no data,no data,YES,paling,Bleaching,none,paling,none,none,none,11-30%,45,44,fire coral,palythoa,no data,"MCAV, SCOL, SSID, MDEC had signs of paling.  PPOR was bleaching",
In person,Cory Walter,9/18/2014,11:25,Summerland Key,FL,Research,Mote Marine Laboratory,24.55229,-81.38380,no data,Outplant Site A,no data,patch reef,no data,no data,no data,no data,no data,YES,paling,partial bleaching,paling,paling,none,none,none,31-50%,no data,no data,fire coral,gorgonians,no data,,
In person,Cory Walter,9/18/2014,12:15,Summerland Key,FL,Research,Mote Marine Laboratory,24.56749,-81.38804,26,Outplant Site I ROA,no data,mid-channel reef,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,Bleaching,Bleaching,paling,partial bleaching,partial bleaching,51-75%,no data,no data,fire coral,gorgonians,no data,,
In person,Cory Walter,9/18/2014,13:10,Summerland Key,FL,Research,Mote Marine Laboratory,24.56929,-81.38236,26,"Outplant Site J, outside ROA",no data,mid-channel reef,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,Bleaching,Bleaching,paling,partial bleaching,partial bleaching,51-75%,no data,no data,fire coral,gorgonians,no data, ,
In person,Cory Walter,9/18/2014,14:10,Summerland Key,FL,Research,Mote Marine Laboratory,24.59565,-81.37162,25,Munson,no data,mid-channel reef,no data,no data,no data,no data,no data,YES,Bleaching ,partial bleaching,Bleaching,Bleaching,paling,partial bleaching,partial bleaching,51-75%,no data,no data,fire coral,gorgonians,no data,50% Cnat had very active BBD...have pics,
Email ,Gabby Renchen,9/18/2014,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.52240,-81.51973,no data,American Shoals area,no data,reef,no data,no data,no data,no data,no data,YES,Bleaching ,no data,no data,no data,no data,no data,no data,31-50%,20,no data,no data,no data,no data,"PCLI bleached as well as many others.  Favia fragum, Manicina areolata, SSIDs",
Email ,Cindy Lewis & Tom Bartlett,9/18/2014,13:00,Long Key,FL,Research,Keys Marine Lab,24.81285,-80.66945,45,Alligator Reef,Cof Allig,reef,0-5 kts,82,84,84,mostly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,51-75%,45,40,fire coral,palythoa,gorgonians,"bleached: O fav, O ann, Dip spp, Colp, A cerv, P por, P ast, Eus, Aga spp, S sid; octos: many pale and several species bleached
O fav - some colonies showing streaks of light brown (zoox!)
pix and movie available",
Email ,Trudy Ferraro,9/19/2014,12:41,Key Largo,FL,Research,FPS Pennekamp,25.06830,-80.39239,9,Mosquito Banks north,no data,mid-channel reef,no data,no data,no data,84,no data,YES,paling,none,none,paling,none,none,none,31-50%,9,9,fire coral,gorgonians,no data,lots of dark spot,
Email ,Trudy Ferraro,9/19/2014,9:30,Key Largo,FL,Research,FPS Pennekamp,25.13079,-80.36442,14,Mosquito Banks north,no data,patch reef,no data,no data,no data,86,mostly cloudy,YES,paling,none,none,paling,none,none,none,31-50%,14,12,fire coral,gorgonians,no data,,
Email ,Cindy Lewis & Tom Bartlett,9/19/2014,11:00,Long Key,FL,Research,Keys Marine Lab,24.47388,-81.74365,28,Marker 32,no data,reef,0-5 kts,82,82,82,mostly cloudy,YES,Bleaching ,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,Bleaching,51-75%,28,20,fire coral,palythoa,gorgonians,"bleached: D cyl, O fav, O ann, Dip spp, Colp, A cerv, P por, P ast, Eus, Aga spp, S sid; octos: many pale and several species bleached
O fav - some colonies showing streaks of light brown (zoox!)
pix  available",
Email ,Kayla Nimmo,9/20/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.69156,-82.84390,40,FRRp 2445,no data,hardbottom,no data,no data,no data,no data,no data,YES,partial bleaching,none,paling,Bleaching,Bleaching,none,none,11-30%,40,32,fire coral,palythoa,no data,"The following species had signs of paling: MMEA, SINT.  The following species had signs of bleaching/partial bleaching: MYCE, SSID, MUSA, SSID.  One colony of SSID had dark spots",
Email ,Kayla Nimmo,9/20/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.67549,-82.82593,no data,FRRP 1242,no data,hardbottom,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,none,Bleaching,none,Bleaching,none,51-75%,30,28,fire coral,palythoa,gorgonians,"One colony of SSID had dark spots.   The following species showed signs of bleaching: PDIV, PFUR, AAGA, ODIF, SSID",
Email ,Kayla Nimmo,9/20/2014,13:30,Key West,FL,Research,Dry Tortugas NPS,24.62753,-82.83802,35,FRRP 2449,no data,hardbottom,no data,no data,no data,no data,no data,YES,paling,Bleaching,none,paling,none,partial bleaching,none,11-30%,35,30,fire coral,palythoa,gorgonians,"The following species had signs of bleaching: SSID, HCUC, PPOR.  The following species had signs of paling: ALAM, PPOR, MCAV, PAST",
Email ,Kayla Nimmo,9/20/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.63608,-82.80357,19,FRRP 2425,no data,hardbottom,no data,no data,no data,no data,no data,YES,Bleaching ,Bleaching,paling,Bleaching,none,none,none,11-30%,19,17,fire coral,palythoa,no data,"The following species had signs of paling: DCLIV.  The following species had signs of bleaching: PFUR, PPOR, PAST, SRAD, SSID",
Email ,Kayla Nimmo,9/21/2014,13:50,Key West,FL,Research,Dry Tortugas NPS,24.64250,-82.84444,54,FRRP 2424,no data,hardbottom,no data,no data,no data,no data,no data,YES,paling,none,none,paling,none,none,none,1-10%,54,48,fire coral,palythoa,no data,"1 colony of SSID had dark spots.  The following had signs of paling: MMEA, MCAV, PAST, MYCE.  The following had signs of bleaching: SSID, SINT",
Email ,Kayla Nimmo,9/21/2014,9:50,Key West,FL,Research,Dry Tortugas NPS,24.58341,-82.97165,45,FRRP 2442,no data,hardbottom,no data,no data,no data,no data,no data,YES,Bleaching ,paling,none,Bleaching,none,none,none,31-50%,45,42,fire coral,palythoa,no data,"The following species had signs of paling: MMEA, MCAV, PPOR, MFRA.  The following species had signs of bleaching: SSID, SINT, MCAV",
Email ,Kayla Nimmo,9/22/2014,15:30,Key West,FL,Research,Dry Tortugas NPS,24.61877,-82.92878,57,Treee,no data,hardbottom,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,paling,partial bleaching,none,none,none,11-30%,57,20,fire coral,palythoa,gorgonians,"Two colonies of SSID had dark spots.  CNAT was paled.  The following species had signs of bleaching/partial bleaching: MUSSA sp, SSID, HLUC, AAGA, MYCE, SINT, MCAV, MFRA, PPOR, PAST",
Email ,Kayla Nimmo,9/23/2014,no data,Key West,FL,Research,Dry Tortugas NPS,24.70743,-82.77335,78,no data,no data,hardbottom,no data,no data,no data,no data,no data,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,none,none,none,1-10%,78,50,fire coral,palythoa,gorgonians,,
